Season,Week,Contestant,Rank_System_Place,Percent_System_Place,Diff
34,4,Dylan Efron,6.5,5.5,1.0
34,6,Danielle Fishel,4.0,4.0,0.0
34,6,Elaine Hendrix,4.0,4.0,0.0
34,6,Jordan Chiles,1.0,1.0,0.0
34,6,Andy Richter,9.5,9.0,0.5
34,6,Robert Irwin,4.0,4.0,0.0
34,6,Scott Hoying,9.5,10.0,-0.5
34,6,Alix Earle,6.0,6.0,0.0
34,6,Jen Affleck,7.0,7.0,0.0
34,6,Whitney Leavitt,2.0,2.0,0.0
34,6,Dylan Efron,8.0,8.0,0.0
34,7,Danielle Fishel,6.5,6.0,0.5
34,7,Elaine Hendrix,8.5,7.0,1.5
34,7,Jordan Chiles,4.5,4.5,0.0
34,7,Andy Richter,6.5,8.0,-1.5
34,7,Robert Irwin,3.0,3.0,0.0
34,7,Alix Earle,1.0,1.0,0.0
34,7,Jen Affleck,8.5,9.0,-0.5
34,7,Whitney Leavitt,2.0,2.0,0.0
34,7,Dylan Efron,4.5,4.5,0.0
34,8,Danielle Fishel,8.0,8.0,0.0
34,8,Elaine Hendrix,7.0,6.0,1.0
34,8,Jordan Chiles,2.0,2.0,0.0
34,8,Andy Richter,4.0,7.0,-3.0
34,8,Robert Irwin,5.0,4.0,1.0
34,8,Alix Earle,3.0,3.0,0.0
34,8,Whitney Leavitt,1.0,1.0,0.0
34,8,Dylan Efron,6.0,5.0,1.0
34,9,Elaine Hendrix,6.0,6.0,0.0
34,9,Jordan Chiles,5.0,5.0,0.0
34,9,Andy Richter,7.0,7.0,0.0
34,9,Robert Irwin,2.0,2.0,0.0
34,9,Alix Earle,4.0,4.0,0.0
34,9,Whitney Leavitt,2.0,2.0,0.0
34,9,Dylan Efron,2.0,2.0,0.0
34,10,Elaine Hendrix,5.5,3.5,2.0
34,10,Jordan Chiles,5.5,3.5,2.0
34,10,Robert Irwin,1.0,1.0,0.0
34,10,Alix Earle,2.0,2.0,0.0
34,10,Whitney Leavitt,4.0,6.0,-2.0
34,10,Dylan Efron,3.0,5.0,-2.0
